district,soil_type,season,rainfall,price_2021,price_2022,price_2023,crop
Mangalore,Clayey,Rabi,515,1212,1743,1685,Groundnut
Mangalore,Loamy,Kharif,798,1217,1690,1339,Millet
Mangalore,Clayey,Zaid,710,1969,1432,1594,Banana
Mangalore,Clayey,Rabi,323,1697,1058,1389,Potato
Mangalore,Loamy,Rabi,649,1746,1442,1547,Tomato
Mangalore,Clayey,Rabi,236,1916,1175,1654,Onion
Mangalore,Loamy,Rabi,776,1479,1811,1270,Soybean
Mangalore,Clayey,Zaid,876,1019,1786,1597,Sunflower
Mangalore,Loamy,Kharif,841,1475,1439,1847,Peanut
Mangalore,Loamy,Zaid,507,1101,1993,1904,Lentil
Mangalore,Sandy,Rabi,741,1102,1000,1067,Mustard
Mangalore,Loamy,Kharif,470,1603,1178,1596,Chickpea
Hubli,Sandy,Rabi,881,1174,1060,1941,Rice
Hubli,Sandy,Zaid,733,1895,1949,1428,Wheat
Hubli,Sandy,Rabi,305,1257,1837,1771,Maize
Hubli,Loamy,Kharif,1058,1405,1703,1385,Barley
Hubli,Clayey,Zaid,786,1158,1609,1836,Sugarcane
Hubli,Sandy,Zaid,987,1657,1724,1851,Pulses
Hubli,Sandy,Zaid,357,1604,1845,1660,Cotton
Hubli,Sandy,Kharif,782,1566,1670,1337,Sorghum
Hubli,Sandy,Zaid,507,1273,1575,1441,Groundnut
Hubli,Sandy,Kharif,285,1904,1715,1792,Millet
Hubli,Clayey,Rabi,1019,1237,1861,1502,Banana
Hubli,Clayey,Kharif,985,1140,1251,1899,Potato
Hubli,Clayey,Rabi,688,1130,1471,1925,Tomato
Hubli,Loamy,Rabi,760,1497,1882,1435,Onion
Hubli,Loamy,Rabi,223,1149,1671,1681,Soybean
Hubli,Sandy,Kharif,400,1502,1729,1227,Sunflower
Hubli,Sandy,Rabi,733,1313,1455,1771,Peanut
Hubli,Clayey,Kharif,675,1497,1034,1260,Lentil
Hubli,Loamy,Rabi,990,1506,1535,1273,Mustard
Hubli,Loamy,Kharif,1110,1953,1941,1658,Chickpea
Belgaum,Clayey,Kharif,272,1745,1409,1452,Rice
Belgaum,Sandy,Kharif,541,1425,1035,1953,Wheat
Belgaum,Loamy,Rabi,445,1113,1669,1291,Maize
Belgaum,Clayey,Kharif,738,1903,1979,1949,Barley
Belgaum,Loamy,Kharif,1124,1751,1981,1102,Sugarcane
Belgaum,Sandy,Kharif,591,1833,1151,1311,Pulses
Belgaum,Sandy,Rabi,759,1485,1926,1803,Cotton
Belgaum,Clayey,Rabi,1151,1363,1540,1112,Sorghum
Belgaum,Loamy,Kharif,447,1935,1944,1917,Groundnut
Belgaum,Loamy,Rabi,727,1128,1574,1076,Millet
Belgaum,Sandy,Kharif,1003,1354,1080,1701,Banana
Belgaum,Clayey,Kharif,1093,1125,1903,1091,Potato
Belgaum,Loamy,Zaid,251,1037,1027,1264,Tomato
Belgaum,Sandy,Zaid,695,1936,1355,1068,Onion
Belgaum,Clayey,Zaid,818,1088,1338,1846,Soybean
Belgaum,Sandy,Kharif,965,1671,1192,1380,Sunflower
Belgaum,Loamy,Rabi,771,1133,1446,1676,Peanut
Belgaum,Sandy,Kharif,603,1708,1898,1603,Lentil
Belgaum,Sandy,Zaid,1028,1827,1594,1899,Mustard
Belgaum,Sandy,Zaid,860,1453,1163,1805,Chickpea
Gulbarga,Clayey,Zaid,282,1565,1167,1579,Rice
Gulbarga,Clayey,Rabi,896,1060,1805,1267,Wheat
Gulbarga,Clayey,Zaid,670,1258,1298,1831,Maize
Gulbarga,Loamy,Zaid,690,1431,1975,1314,Barley
Gulbarga,Sandy,Kharif,615,1975,1268,1179,Sugarcane
Gulbarga,Clayey,Kharif,1060,1536,1415,1769,Pulses
Gulbarga,Sandy,Zaid,912,1350,1564,1615,Cotton
Gulbarga,Loamy,Zaid,838,1351,1982,1392,Sorghum
Gulbarga,Sandy,Kharif,979,1827,1597,1274,Groundnut
Gulbarga,Sandy,Zaid,532,1383,1027,1212,Millet
Gulbarga,Clayey,Zaid,444,1083,1467,1750,Banana
Gulbarga,Sandy,Rabi,1161,1231,1383,1302,Potato
Gulbarga,Sandy,Kharif,1141,1529,1170,1858,Tomato
Gulbarga,Clayey,Zaid,1174,1719,1958,1196,Onion
Gulbarga,Clayey,Rabi,676,1380,1415,1852,Soybean
Gulbarga,Clayey,Kharif,1073,1008,1697,1983,Sunflower
Gulbarga,Sandy,Rabi,763,1979,1951,1515,Peanut
Gulbarga,Clayey,Rabi,654,1577,1089,1118,Lentil
Gulbarga,Clayey,Kharif,864,1494,1390,1417,Mustard
Gulbarga,Sandy,Zaid,335,1924,1744,1636,Chickpea
